doorname,doorevent,doorstatus,access_time
Lab Test,Door Monitor,NotSupported,2022-11-07 0:39:49
Lab Test,Door Lock Monitor,NotSupported,2022-11-07 0:39:49
Lab Test,Door Lock Monitor,Fault,2022-11-07 0:39:50
Lab Test,Door Mode,Locked,2022-11-07 0:39:49
Lab Test,Door Tamper,NotInTamper,2022-11-07 0:39:49
Lab Test,Door Alarm,Normal,2022-11-07 0:39:49
Lab Test,Door Warning,Normal,2022-11-07 0:39:49
Lab Test,Door Monitor,Open,2022-11-07 0:39:52
Lab Test,Door Alarm,DoorForcedOpen,2022-11-07 0:39:52
Lab Test,Door Monitor,NotSupported,2022-11-07 0:42:57
Lab Test,Door Lock Monitor,NotSupported,2022-11-07 0:42:57
Lab Test,Door Mode,Locked,2022-11-07 0:42:57
Lab Test,Door Tamper,NotInTamper,2022-11-07 0:42:57
Lab Test,Door Alarm,Normal,2022-11-07 0:42:57
Lab Test,Door Warning,Normal,2022-11-07 0:42:57
Lab Test,Door Lock Monitor,Fault,2022-11-07 0:42:59
Lab Test,Door Monitor,Open,2022-11-07 0:43:00
Lab Test,Door Alarm,DoorForcedOpen,2022-11-07 0:43:00
Lab Test,Door Monitor,NotSupported,2022-11-07 0:44:18
Lab Test,Door Mode,Locked,2022-11-07 0:44:19
Lab Test,Door Tamper,NotInTamper,2022-11-07 0:44:18
Lab Test,Door Alarm,Normal,2022-11-07 0:44:18
Lab Test,Door Warning,Normal,2022-11-07 0:44:18
Lab Test,Door Monitor,Open,2022-11-07 0:44:21
Lab Test,Door Alarm,DoorForcedOpen,2022-11-07 0:44:21
Lab Test,Door Monitor,NotSupported,2022-11-07 0:45:07
Lab Test,Door Mode,Locked,2022-11-07 0:45:07
Lab Test,Door Tamper,NotInTamper,2022-11-07 0:45:07
Lab Test,Door Alarm,Normal,2022-11-07 0:45:07
Lab Test,Door Monitor,Closed,2022-11-07 0:45:09
Lab Test,Door Warning,Normal,2022-11-07 0:45:07
Lab Test,Door Mode,Unlocked,2022-11-07 0:54:27
Lab Test,Door Mode,Locked,2022-11-07 0:54:52
Lab Test,Door Monitor,NotSupported,2022-11-07 0:59:48
Lab Test,Door Mode,Locked,2022-11-07 0:59:48
Lab Test,Door Tamper,NotInTamper,2022-11-07 0:59:48
Lab Test,Door Alarm,Normal,2022-11-07 0:59:48
Lab Test,Door Warning,Normal,2022-11-07 0:59:48
Lab Test,Door Monitor,Closed,2022-11-07 0:59:50
Lab Test,Door Monitor,NotSupported,2022-11-07 1:03:04
Lab Test,Door Mode,DoubleLocked,2022-11-07 1:03:04
Lab Test,Door Tamper,NotInTamper,2022-11-07 1:03:04
Lab Test,Door Alarm,Normal,2022-11-07 1:03:04
Lab Test,Door Warning,Normal,2022-11-07 1:03:04
Lab Test,Door Monitor,Closed,2022-11-07 1:03:06
Lab Test,Door Monitor,NotSupported,2022-11-08 5:45:42
Lab Test,Door Mode,Locked,2022-11-08 5:45:42
Lab Test,Door Tamper,NotInTamper,2022-11-08 5:45:42
Lab Test,Door Alarm,Normal,2022-11-08 5:45:42
Lab Test,Door Warning,Normal,2022-11-08 5:45:42
Lab Test,Door Monitor,Closed,2022-11-08 5:45:45
Lab Test,Door Mode,Accessed,2022-11-08 5:59:38
Lab Test,Door Mode,Locked,2022-11-08 5:59:46
Lab Test,Door Mode,Accessed,2022-11-08 5:59:58
Lab Test,Door Mode,Locked,2022-11-08 6:00:06
Lab Test,Door Mode,Accessed,2022-11-08 6:16:23
Lab Test,Door Mode,Locked,2022-11-08 6:16:30
Lab Test,Door Mode,Accessed,2022-11-08 6:16:34
Lab Test,Door Mode,Locked,2022-11-08 6:16:42
Lab Test,Door Mode,Accessed,2022-11-09 2:14:07
Lab Test,Door Mode,Locked,2022-11-09 2:14:15
Lab Test,Door Mode,Accessed,2022-11-09 2:14:24
Lab Test,Door Mode,Locked,2022-11-09 2:14:31
