cardraw,cardnr,access_time
7bee8de4,2079231460,2022-11-07 0:43:19
7bee8de4,2079231460,2022-11-07 0:43:25
7bee8de4,2079231460,2022-11-07 0:43:27
7bee8de4,2079231460,2022-11-07 0:47:04
7bee8de4,2079231460,2022-11-07 0:48:37
7bee8de4,2079231460,2022-11-07 0:48:42
7bee8de4,2079231460,2022-11-07 0:48:44
7bee8de4,2079231460,2022-11-07 0:50:15
7bee8de4,2079231460,2022-11-07 0:51:24
7bee8de4,2079231460,2022-11-07 0:51:27
7bee8de4,2079231460,2022-11-07 0:51:29
7bee8de4,2079231460,2022-11-07 0:51:59
7bee8de4,2079231460,2022-11-07 0:52:01
7bee8de4,2079231460,2022-11-07 0:52:02
7bee8de4,2079231460,2022-11-07 0:52:04
7bee8de4,2079231460,2022-11-07 0:53:10
7bee8de4,2079231460,2022-11-07 0:53:13
7bee8de4,2079231460,2022-11-07 0:53:21
7bee8de4,2079231460,2022-11-07 0:53:33
7bee8de4,2079231460,2022-11-07 1:00:16
7bee8de4,2079231460,2022-11-07 1:00:18
7bee8de4,2079231460,2022-11-07 1:00:20
7bee8de4,2079231460,2022-11-07 1:00:22
7bee8de4,2079231460,2022-11-07 1:05:23
7bee8de4,2079231460,2022-11-07 1:05:25
7bee8de4,2079231460,2022-11-07 1:05:26
7bee8de4,2079231460,2022-11-07 1:05:28
7bee8de4,2079231460,2022-11-08 5:50:52
7bee8de4,2079231460,2022-11-08 5:59:38
7bee8de4,2079231460,2022-11-08 5:59:58
7bee8de4,2079231460,2022-11-08 6:16:23
7bee8de4,2079231460,2022-11-08 6:16:34
7bee8de4,2079231460,2022-11-09 2:14:07
7bee8de4,2079231460,2022-11-09 2:14:24
